Date,Close/Last,Volume,Open,High,Low
07/31/2020,24.216,137357,23.625,24.67,23.41
07/30/2020,23.362,151041,24.45,24.58,23
07/29/2020,24.321,137360,24.58,25.12,23.435
07/28/2020,24.3,250138,24.7,26.275,22.46
07/27/2020,24.501,183880,22.97,24.82,22.94
07/24/2020,22.85,110586,22.835,23.185,22.58
07/23/2020,22.988,179598,23.405,23.67,22.475
07/22/2020,23.144,198641,21.7,23.42,21.68
07/21/2020,21.557,139272,20.34,21.725,20.315
07/20/2020,20.192,76261,19.765,20.34,19.655
07/17/2020,19.764,53671,19.535,19.79,19.355
07/16/2020,19.573,52546,19.82,19.87,19.475
07/15/2020,19.761,54929,19.645,19.845,19.525
07/14/2020,19.53,71583,19.495,19.685,19.495
07/13/2020,19.788,83442,19.08,19.81,19.08
7/10/2020,19.053,60338,19.025,19.195,18.91
7/09/2020,18.962,100545,19.15,19.445,18.83
7/08/2020,19.161,80426,18.625,19.215,18.585
7/07/2020,18.699,68464,18.585,18.72,18.235
7/06/2020,18.582,51126,18.335,18.78,18.245
7/02/2020,18.322,48212,18.285,18.4,17.995
7/01/2020,18.218,84985,18.58,18.85,18.095
06/30/2020,18.637,71444,18.605,18.655,18.52
06/29/2020,18.064,48885,18.11,18.285,17.935
06/26/2020,18.168,35638,18.075,18.255,17.68
06/25/2020,18.051,23263,17.72,18.085,17.65
06/24/2020,17.811,24838,18.275,18.425,17.595
06/23/2020,18.239,30579,17.935,18.31,17.905
06/22/2020,18.074,18925,18.08,18.36,17.95
06/19/2020,18.022,13110,17.66,18.205,17.64
06/18/2020,17.67,10696,17.86,18.07,17.565
06/17/2020,17.775,42829,17.63,17.815,17.515
06/16/2020,17.652,64317,17.52,17.79,17.465
06/15/2020,17.399,73661,17.56,17.63,17.015
6/12/2020,17.482,59673,17.755,17.87,17.47
6/11/2020,17.889,87756,18.335,18.39,17.6
6/10/2020,17.796,85513,17.74,18.405,17.685
6/09/2020,17.794,52027,17.945,17.99,17.685
6/08/2020,17.893,57640,17.545,17.98,17.495
6/05/2020,17.479,82974,18.02,18.05,17.375
6/04/2020,18.061,54247,17.965,18.13,17.785
6/03/2020,17.958,70257,18.395,18.405,17.675
6/02/2020,18.26,75982,18.85,18.9,18.115
6/01/2020,18.827,60748,18.635,18.95,18.455
