Date, Close/Last, Volume, Open, High, Low
12/18/2020,26.033,68739,26.255,26.35,25.865
12/17/2020,26.181,93565,25.5,26.305,25.335
12/16/2020,25.052,94852,24.645,25.64,24.575
12/15/2020,24.644,59608,23.965,24.7,23.94
12/14/2020,24.047,54519,24.14,24.01,23.94
12/11/2020,24.092,49652,24.135,24.245,23.69
12/10/2020,24.094,58194,24.055,24.43,23.825
12/09/2020,23.99,83486,24.735,24.755,23.695
12/08/2020,24.736,58412,24.655,25.015,24.55
12/07/2020,24.794,81408,24.31,24.94,24.525
12/04/2020,24.253,67363,24.195,24.585,24.065
12/03/2020,24.137,72592,24.22,24.42,23.85
12/02/2020,24.08,75782,24.13,24.25,23.99
12/01/2020,24.09,87027,22.7,24.18,22.665
11/30/2020,22.593,92943,22.78,22.83,21.96
11/27/2020,22.639,93554,23.485,23.575,22.4
11/25/2020,23.446,30230,23.39,23.64,23.21
11/24/2020,23.41,42706,23.735,23.45,23.275
11/23/2020,23.757,25369,24.305,23.79,23.71
11/20/2020,24.491,18721,24.2,24.505,24.335
11/19/2020,24.164,18318,24.53,24.31,24.2
11/18/2020,24.558,13856,24.685,24.51,24.415
11/17/2020,24.651,57191,24.88,24.9,24.435
11/16/2020,24.802,81247,24.8,25.155,24.255
11/13/2020,24.775,59687,24.365,24.765,24.68
11/12/2020,24.306,59150,24.36,24.475,24.09
11/11/2020,24.267,72493,24.305,24.51,23.81
11/10/2020,24.462,83204,24.18,24.355,24.16
11/09/2020,23.701,162454,25.86,24.39,23.955
11/06/2020,25.662,109781,25.45,25.975,25.01
11/05/2020,25.191,104934,23.98,25.54,25.36
11/04/2020,23.893,100641,24.29,24.005,23.885
11/03/2020,24.334,58515,24.17,24.325,24.165
11/02/2020,24.033,73322,23.635,24.26,23.46
10/30/2020,23.646,77991,23.35,23.755,23.49
10/29/2020,23.36,101168,23.44,23.65,22.625
10/28/2020,23.359,125279,24.495,23.5,23.3
10/27/2020,24.57,51247,24.385,24.76,24.265
10/26/2020,24.42,66833,24.75,24.765,24.145
10/23/2020,24.675,51327,24.835,24.98,24.5
10/22/2020,24.709,73168,25.18,25.225,24.46
10/21/2020,25.241,76573,24.795,25.425,24.775
10/20/2020,24.98,56490,24.485,24.915,24.735
10/19/2020,24.698,62583,24.29,25.12,24.215
10/16/2020,24.405,50140,24.43,24.66,24.185
10/15/2020,24.224,70895,24.37,24.44,23.65
10/14/2020,24.395,62163,24.24,24.725,23.93
10/13/2020,24.129,91366,25.24,25.31,24.015
10/12/2020,25.271,69132,25.28,25.71,24.905
10/09/2020,25.108,73241,23.97,25.33,23.965
10/08/2020,23.876,45989,23.925,24.355,23.775
10/07/2020,23.896,57886,23.16,24.12,23.09
10/06/2020,23.921,70956,24.52,24.65,22.965
10/05/2020,24.56,49226,24.075,24.675,24.01
10/02/2020,24.029,65809,23.9,24.355,23.58
10/01/2020,24.254,69981,23.355,24.32,23.325
09/30/2020,23.494,89045,24.505,24.505,23.235
09/29/2020,24.445,76907,23.805,24.545,23.51
09/28/2020,23.604,77561,22.995,23.86,22.61
09/25/2020,23.093,92164,23.24,23.415,22.52
09/24/2020,23.196,157037,22.875,23.44,21.81
09/23/2020,23.105,149462,24.525,24.62,22.725
09/22/2020,24.523,107856,24.785,25.3,23.91
09/21/2020,24.387,176173,27.005,27.13,23.78
09/18/2020,27.129,52391,27.285,27.58,26.87
09/17/2020,27.1,93485,27.345,27.4,26.405
09/16/2020,27.476,63279,27.35,27.705,27.055
09/15/2020,27.464,59641,27.38,27.865,27.195
09/14/2020,27.355,50898,26.91,27.545,26.85
9/11/2020,26.857,59509,27.035,27.235,26.76
9/10/2020,27.291,85482,27.185,27.07,26.9
9/09/2020,27.083,58920,26.905,27.325,26.565
9/08/2020,26.991,138765,27.04,27.385,25.985
9/04/2020,26.712,114122,26.765,27.195,26.455
9/03/2020,26.875,122922,27.635,27.89,26.63
9/02/2020,27.395,123599,28.385,28.54,27.275
9/01/2020,28.645,113442,28.43,29.235,27.835
08/31/2020,28.594,89757,27.83,28.65,27.79
08/28/2020,27.79,101673,27.265,27.99,27.05
08/27/2020,27.198,109158,27.775,28.195,26.705
08/26/2020,27.604,61890,26.76,27.795,26.31
08/25/2020,26.426,35088,26.81,27.015,26.29
08/24/2020,26.768,35393,27.04,27.495,26.48
08/21/2020,26.877,36796,27.5,27.775,26.25
08/20/2020,27.301,25328,26.92,27.77,26.81
08/19/2020,27.486,32940,27.98,28.27,26.685
08/18/2020,28.243,32283,27.805,28.775,27.36
08/17/2020,27.834,27387,26.755,27.88,26.1
08/14/2020,26.089,220726,27.62,27.885,25.78
08/13/2020,27.718,240661,25.63,27.855,25.355
8/12/2020,25.979,236748,24.9,26.355,23.58
8/11/2020,26.049,347002,29.235,29.44,24.48
8/10/2020,29.261,233506,28.525,29.53,27.96
8/07/2020,27.54,276165,29.025,29.275,27.43
8/06/2020,28.4,231393,27.105,29.2,26.935
8/05/2020,26.89,209091,26.29,27.25,25.64
8/04/2020,26.028,153133,24.49,26.26,24.24
8/03/2020,24.417,77403,24.68,25.275,24.16
07/31/2020,24.216,137357,23.625,24.67,23.41
07/30/2020,23.362,151041,24.45,24.58,23
07/29/2020,24.321,137360,24.58,25.12,23.435
07/28/2020,24.3,250138,24.7,26.275,22.46
07/27/2020,24.501,183880,22.97,24.82,22.94
07/24/2020,22.85,110586,22.835,23.185,22.58
07/23/2020,22.988,179598,23.405,23.67,22.475
07/22/2020,23.144,198641,21.7,23.42,21.68
07/21/2020,21.557,139272,20.34,21.725,20.315
07/20/2020,20.192,76261,19.765,20.34,19.655
07/17/2020,19.764,53671,19.535,19.79,19.355
07/16/2020,19.573,52546,19.82,19.87,19.475
07/15/2020,19.761,54929,19.645,19.845,19.525
07/14/2020,19.53,71583,19.495,19.685,19.495
07/13/2020,19.788,83442,19.08,19.81,19.08
7/10/2020,19.053,60338,19.025,19.195,18.91
7/09/2020,18.962,100545,19.15,19.445,18.83
7/08/2020,19.161,80426,18.625,19.215,18.585
7/07/2020,18.699,68464,18.585,18.72,18.235
7/06/2020,18.582,51126,18.335,18.78,18.245
7/02/2020,18.322,48212,18.285,18.4,17.995
7/01/2020,18.218,84985,18.58,18.85,18.095
06/30/2020,18.637,71444,18.605,18.655,18.52
06/29/2020,18.064,48885,18.11,18.285,17.935
06/26/2020,18.168,35638,18.075,18.255,17.68
06/25/2020,18.051,23263,17.72,18.085,17.65
06/24/2020,17.811,24838,18.275,18.425,17.595
06/23/2020,18.239,30579,17.935,18.31,17.905
06/22/2020,18.074,18925,18.08,18.36,17.95
06/19/2020,18.022,13110,17.66,18.205,17.64
06/18/2020,17.67,10696,17.86,18.07,17.565
06/17/2020,17.775,42829,17.63,17.815,17.515
06/16/2020,17.652,64317,17.52,17.79,17.465
06/15/2020,17.399,73661,17.56,17.63,17.015
6/12/2020,17.482,59673,17.755,17.87,17.47
6/11/2020,17.889,87756,18.335,18.39,17.6
6/10/2020,17.796,85513,17.74,18.405,17.685
6/09/2020,17.794,52027,17.945,17.99,17.685
6/08/2020,17.893,57640,17.545,17.98,17.495
6/05/2020,17.479,82974,18.02,18.05,17.375
6/04/2020,18.061,54247,17.965,18.13,17.785
6/03/2020,17.958,70257,18.395,18.405,17.675
6/02/2020,18.26,75982,18.85,18.9,18.115
6/01/2020,18.827,60748,18.635,18.95,18.455
05/29/2020,18.44,25,17.865,17.865,17.865
05/28/2020,17.967,58267,17.8,18.11,17.685
05/27/2020,17.757,63867,17.56,17.86,17.225
05/26/2020,17.595,75619,17.625,18.04,17.37
05/22/2020,17.664,52,17.385,17.69,17.385
05/21/2020,17.364,72242,18.055,18.06,17.26
05/20/2020,18.002,25,18.025,18.04,17.93
05/19/2020,17.901,64725,17.37,18.01,17.34
05/18/2020,17.468,89571,17.225,17.985,17.125
05/15/2020,17.046,57,16.54,16.975,16.505
05/14/2020,16.156,50350,15.755,16.225,15.66
05/13/2020,15.671,41549,15.625,15.91,15.545
5/12/2020,15.709,34576,15.7,15.88,15.525
5/11/2020,15.68,36366,15.755,15.92,15.51
5/08/2020,15.74,59,15.555,15.8,15.5
5/07/2020,15.59,46748,14.92,15.695,14.92
5/06/2020,15.015,37692,15.115,15.39,14.84
5/05/2020,15.11,31059,14.845,15.2,14.76
5/04/2020,14.796,35583,15.075,15.225,14.76
5/01/2020,14.863,102,15.005,15.045,14.855
04/30/2020,14.973,62704,15.53,15.94,14.85
04/29/2020,15.16,5284,15.215,15.47,15.125
04/28/2020,15.328,30711,15.435,15.505,15.085
04/27/2020,15.341,19163,15.49,15.635,15.3
04/24/2020,15.254,10,15.254,15.254,15.254
04/23/2020,15.526,17047,15.45,15.885,15.355
04/22/2020,15.503,14340,15.075,15.535,14.895
04/21/2020,14.991,17834,15.675,15.71,14.715
04/20/2020,15.75,10315,15.425,15.805,15.325
04/17/2020,15.237, N/A,15.237,15.237,15.237
04/16/2020,15.766,8791,15.79,16.045,15.585
04/15/2020,15.654,9633,16.25,16.255,15.625
04/14/2020,16.341,16859,15.835,16.505,15.835
04/13/2020,15.479, N/A,15.479,15.479,15.479
4/09/2020,15.995,15,15.14,15.865,15.14
4/08/2020,15.205,38856,15.305,15.445,15.11
4/07/2020,15.48,63736,15.28,15.93,15.205
4/06/2020,15.111,28,14.55,15.025,14.55
4/03/2020,14.436,6,14.59,14.59,14.55
4/02/2020,14.654,53256,14.055,14.72,13.99
4/01/2020,13.984,42181,14.145,14.265,13.895
03/31/2020,14.098,27,13.98,14.245,13.98
03/30/2020,14.132,57586,14.7,14.71,13.945
03/27/2020,14.498,80,14.335,14.45,14.335
03/26/2020,14.676,49336,14.77,14.98,14.4
03/25/2020,14.873,73082,14.415,14.93,14.205
03/24/2020,14.229,176,13.36,14.075,13.36
03/23/2020,13.261,71470,12.615,13.33,12.29
03/20/2020,12.349,95,12.08,12.86,12.08
03/19/2020,12.134,71565,11.975,12.33,11.76
03/18/2020,11.772,109368,12.61,12.905,11.64
03/17/2020,12.469,194,12.55,12.71,12.415
03/16/2020,12.816,134597,15.1,15.245,11.77
03/13/2020,14.5,153960,15.825,15.89,14.425
3/12/2020,16.005,136523,16.72,16.91,15.505
3/11/2020,16.776,54867,16.875,17.11,16.66
3/10/2020,16.906,97,16.85,17.145,16.765
3/09/2020,17.054,124720,17.49,17.615,16.55
3/06/2020,17.263,91903,17.45,17.575,17.015
3/05/2020,17.342,66,17.155,17.405,17.12
3/04/2020,17.246,63170,17.205,17.335,17.075
3/03/2020,17.129,307,16.875,17.32,16.74
3/02/2020,16.679,458,16.495,16.975,16.39
02/28/2020,16.387,709,17.69,17.795,16.34
02/27/2020,17.735,116172,18.04,18.05,17.63
02/26/2020,17.914,120846,17.93,17.965,17.915
02/25/2020,18.268,109636,18.24,18.315,17.9
02/24/2020,18.96,66356,18.955,18.955,18.595
02/21/2020,18.521,11,18.565,18.565,18.48
02/20/2020,18.319,96518,18.425,18.44,18.205
02/19/2020,18.311,91746,18.155,18.45,18.135
02/18/2020,18.131, N/A,18.131,18.131,18.131
02/14/2020,17.715, N/A,17.715,17.715,17.715
02/13/2020,17.619,65730,17.455,17.715,17.44
2/12/2020,17.497,67787,17.62,17.65,17.435
2/11/2020,17.573,7,17.695,17.715,17.695
2/10/2020,17.785,52976,17.705,17.825,17.665
2/07/2020,17.665,7,17.665,17.665,17.665
2/06/2020,17.818,58118,17.61,17.875,17.575
2/05/2020,17.602,57682,17.565,17.71,17.465
2/04/2020,17.561,57771,17.65,17.77,17.51
2/03/2020,17.67,80029,18.1,18.125,17.58
01/31/2020,17.972,1,17.972,17.972,17.972
01/30/2020,17.992,91784,17.54,18.04,17.52
01/29/2020,17.487,57355,17.44,17.575,17.28
01/28/2020,17.458,103394,18.095,18.115,17.42
01/27/2020,18.056,66431,18.26,18.375,18.04
01/24/2020,18.057,280,18.05,18.05,18.05
01/23/2020,17.829,67947,17.835,17.91,17.59
01/22/2020,17.828,56750,17.85,17.855,17.795
01/21/2020,17.751,175,17.751,17.751,17.751
01/17/2020,18.013,67,18.013,18.013,18.013
01/16/2020,17.939,57366,18.01,18.055,17.875
01/15/2020,17.988,72239,17.8,18.055,17.755
01/14/2020,17.742,81365,17.975,17.985,17.69
01/13/2020,17.996,57954,18.13,18.13,17.935
1/10/2020,18.033,2,18.033,18.033,18.033
1/09/2020,17.936,99154,18.12,18.225,17.815
1/08/2020,18.167,177941,18.115,18.19,18.115
1/07/2020,18.393,108230,18.185,18.47,17.975
1/06/2020,18.179,132871,18.17,18.55,18.045
1/03/2020,18.068,83,18.11,18.11,17.965
1/02/2020,18.046,86726,17.905,18.15,17.83
12/31/2019,17.828,232,18.065,18.065,17.8
12/30/2019,18.001,61599,17.86,18.02,17.83
12/27/2019,17.943,68954,17.995,18.05,17.815
12/26/2019,17.99,86611,17.83,18.135,17.81
12/24/2019,17.757,3,17.52,17.52,17.515
12/23/2019,17.499,62712,17.23,17.52,17.23
12/20/2019,17.128,1,17.18,17.18,17.18
12/19/2019,17.058,987,16.985,17.075,16.975
12/18/2019,17.049,45580,17.06,17.125,16.935
12/17/2019,17.072,43506,17.105,17.17,17.015
12/16/2019,17.113,47667,17.005,17.14,16.955
12/13/2019,16.912,23,16.88,16.89,16.825
12/12/2019,16.949,111614,16.92,17.03,16.905
12/11/2019,16.849,60730,16.915,16.93,16.91
12/10/2019,16.596,188,16.555,16.61,16.555
12/09/2019,16.642,51185,16.6,16.73,16.565
12/06/2019,16.481,159,16.82,16.825,16.465
12/05/2019,17.059,64624,16.92,17.075,16.87
12/04/2019,16.916,107672,17.25,17.415,16.865
12/03/2019,17.125,381,16.86,17.16,16.81
12/02/2019,16.966,70903,17.07,17.1,16.895
11/29/2019,17.106,66535,17.01,17.125,16.935
11/27/2019,16.912,26852,17.06,17.065,16.875
11/26/2019,17.188,54963,16.82,17.225,16.82
11/25/2019,17.03,32707,17.1,17.115,16.965
11/22/2019,17.147,25048,17.22,17.355,17.1
11/21/2019,17.211,29371,17.28,17.31,17.155
